name,ev_type,battery_capacity,acceleration,top_speed,range,efficiency,fast_charge_speed,drive,number_of_seats,price_in_germany,price_in_uk,price_in_us
BMW iX xDrive40,Battery Electric Vehicle ,71,6.1,200,350,203,470,All Wheel Drive,5,77300,69905,83886
BMW iX xDrive50,Battery Electric Vehicle ,105.2,4.6,200,505,208,620,All Wheel Drive,5,98000,91905,110286
MG MG5 Electric,Battery Electric Vehicle ,57,8.3,180,340,168,440,Front Wheel Drive,5,35000,NA,37450
MG Marvel R Performance,Battery Electric Vehicle ,65,4.9,200,330,197,380,All Wheel Drive,5,50000,NA,53500
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle ,58,8.5,185,310,187,720,Rear Wheel Drive,5,41900,36995,44394
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle ,58,6.1,185,305,190,710,All Wheel Drive,5,45700,NA,48899
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle ,72.6,7.4,185,385,189,890,Rear Wheel Drive,5,45100,41945,50334
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle ,72.6,5.2,185,375,194,870,All Wheel Drive,5,48900,45145,54174
Kia EV6 Standard Range 2WD,Battery Electric Vehicle ,58,8.5,185,320,181,740,Rear Wheel Drive,5,44990,40985,49182
Kia EV6 Long Range 2WD,Battery Electric Vehicle ,77.4,7.5,185,420,184,980,Rear Wheel Drive,5,54990,48000,57600
Kia EV6 Long Range AWD,Battery Electric Vehicle ,77.4,5.4,185,410,189,950,All Wheel Drive,5,56000,52000,62400
Mercedes EQS 450+,Battery Electric Vehicle ,107.8,6.2,210,640,168,840,Rear Wheel Drive,5,106374,95000,114000
Mercedes EQS 580 4MATIC,Battery Electric Vehicle ,107.8,4.3,210,610,177,800,All Wheel Drive,5,135529,115000,138000
Tesla Model 3 Standard Range Plus,Battery Electric Vehicle ,50,5.6,225,340,147,680,Rear Wheel Drive,5,43560,40990,49188
Polestar 2 Standard Range Single Motor,Battery Electric Vehicle ,61,7.4,160,350,174,450,Front Wheel Drive,5,46500,39900,47880
Polestar 2 Long Range Single Motor,Battery Electric Vehicle ,75,7.4,160,425,176,550,Front Wheel Drive,5,49500,42900,51480
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle ,75,4.7,205,395,190,510,All Wheel Drive,5,52500,45900,55080
Volkswagen ID.4 Pure,Battery Electric Vehicle ,52,10.9,160,285,182,410,Rear Wheel Drive,5,36950,32150,38580
Audi Q4 e-tron 40,Battery Electric Vehicle ,76.6,8.5,160,405,189,500,Rear Wheel Drive,5,47500,44990,53988
Audi Q4 e-tron 50 quattro,Battery Electric Vehicle ,76.6,6.2,180,385,199,470,All Wheel Drive,5,53600,51370,61644
Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle ,76.6,6.2,180,400,192,490,All Wheel Drive,5,55600,52870,63444
Mercedes EQB 350 4MATIC,Battery Electric Vehicle ,66.5,6.5,160,340,196,400,All Wheel Drive,7,60000,50000,60000
Volkswagen ID.4 GTX,Battery Electric Vehicle ,77,6.2,180,400,193,490,All Wheel Drive,5,50415,55540,66648
Mercedes EQA 300 4MATIC,Battery Electric Vehicle ,66.5,7.7,160,350,190,420,All Wheel Drive,5,53538,NA,57285.66
Mercedes EQA 350 4MATIC,Battery Electric Vehicle ,66.5,6,160,350,190,420,All Wheel Drive,5,56216,NA,60151.12
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle ,45,12.1,130,185,243,250,Front Wheel Drive,7,58530,NA,62627.100000000006
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle ,45,12.1,130,180,250,240,Front Wheel Drive,7,59385,NA,63541.950000000004
Toyota PROACE Verso M 75 kWh,Battery Electric Vehicle ,68,13.1,130,270,252,290,Front Wheel Drive,7,64530,NA,69047.1
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle ,68,13.1,130,270,252,290,Front Wheel Drive,7,65385,NA,69961.95
CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle ,58,7.3,160,350,166,440,Rear Wheel Drive,5,36770,30500,36600
CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle ,58,6.6,160,345,168,430,Rear Wheel Drive,5,39000,31500,37800
CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle ,77,7,160,450,171,550,Rear Wheel Drive,5,43000,42000,50400
BMW i4 M50,Battery Electric Vehicle ,80.7,3.9,225,450,179,630,All Wheel Drive,5,69900,63905,76686
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle ,75,4.9,180,340,221,440,All Wheel Drive,5,59250,49950,59940
Renault Megane E-Tech Electric,Battery Electric Vehicle ,60,8,160,335,179,480,Front Wheel Drive,5,38000,32500,39000
Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle ,45,11.7,135,200,225,270,Front Wheel Drive,7,37590,30375,36450
Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle ,45,11.7,135,195,231,260,Front Wheel Drive,7,42590,32455,38946
MG Marvel R,Battery Electric Vehicle ,65,7.9,200,340,191,390,Rear Wheel Drive,5,40000,NA,42800
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle ,76,4.4,233,490,155,820,All Wheel Drive,5,53560,NA,57309.200000000004
MG MG5 EV Long Range,Battery Electric Vehicle ,57,7.7,185,340,168,340,Front Wheel Drive,5,NA,26495,31794
Audi Q4 e-tron 45 quattro,Battery Electric Vehicle ,76.6,6.9,180,385,199,470,All Wheel Drive,5,50900,NA,54463
Audi Q4 Sportback e-tron 40,Battery Electric Vehicle ,76.6,8.5,160,425,180,520,Rear Wheel Drive,5,49500,NA,52965
